host_species	taxid	host_genus	host_family	host_order	host_class
Thraupis ornata	548519	Thraupis	Thraupidae	Passeriformes	Aves
Typhlops sulcatus	159180	Typhlops	Typhlopidae	Squamata	Lepidosauria
Leptonycteris curasoae	55054	Leptonycteris	Phyllostomidae	Chiroptera	Mammalia
Icterus prosthemelas	223164	Icterus	Icteridae	Passeriformes	Aves
Mesaspis moreletii	102187	Mesaspis	Anguidae	Squamata	Lepidosauria
Elaphe quadrivirgata	86195	Elaphe	Colubridae	Squamata	Lepidosauria
Thamnophilus amazonicus	419683	Thamnophilus	Thamnophilidae	Passeriformes	Aves
Pelophylax lessonae	45623	Pelophylax	Ranidae	Anura	Amphibia
Hypargos margaritatus	247533	Hypargos	Estrildidae	Passeriformes	Aves
Chordeiles pusillus	723269	Chordeiles	Caprimulgidae	Caprimulgiformes	Aves
Paroedura bastardi	460137	Paroedura	Gekkonidae	Squamata	Lepidosauria
Litoria nyakalensis	681259	Litoria	Hylidae	Anura	Amphibia
Thamnophilus tenuepunctatus	419669	Thamnophilus	Thamnophilidae	Passeriformes	Aves
Merops bulocki	325340	Merops	Meropidae	Coraciiformes	Aves
Thalurania fannyi	689306	Thalurania	Trochilidae	Apodiformes	Aves
Pristimantis labiosus	448716	Pristimantis	Strabomantidae	Anura	Amphibia
Raorchestes bobingeri	520859	Raorchestes	Rhacophoridae	Anura	Amphibia
Mauremys japonica	176196	Mauremys	Geoemydidae	Testudines	Testudinata
Taeniophallus brevirostris	121368	Taeniophallus	Dipsadidae	Squamata	Lepidosauria
Zentrygon frenata	471131	Zentrygon	Columbidae	Columbiformes	Aves
Contopus fumigatus	555241	Contopus	Tyrannidae	Passeriformes	Aves
Hyaena hyaena	95912	Hyaena	Hyaenidae	Carnivora	Mammalia
Brachyteles arachnoides	30594	Brachyteles	Atelidae	Primates	Mammalia
Stenolepis ridleyi	425939	Stenolepis	Gymnophthalmidae	Squamata	Lepidosauria
Panaspis togoensis	245653	Panaspis	Scincidae	Squamata	Lepidosauria
Aspronema dorsivittatum	127584	Aspronema	Scincidae	Squamata	Lepidosauria
Dendrotriton sanctibarbarus	1131889	Dendrotriton	Plethodontidae	Caudata	Amphibia
Raorchestes longchuanensis	670918	Raorchestes	Rhacophoridae	Anura	Amphibia
Anolis bitectus	323571	Anolis	Dactyloidae	Squamata	Lepidosauria
Microtus townsendii	111841	Microtus	Cricetidae	Rodentia	Mammalia
Calabaria reinhardtii	39283	Calabaria	Boidae	Squamata	Lepidosauria
Homonota darwinii	502497	Homonota	Phyllodactylidae	Squamata	Lepidosauria
Lerista yuna	470398	Lerista	Scincidae	Squamata	Lepidosauria
Eliomys melanurus	221695	Eliomys	Gliridae	Rodentia	Mammalia
Tockus jacksoni	1303313	Tockus	Bucerotidae	Bucerotiformes	Aves
Yuhina brunneiceps	181635	Yuhina	Timaliidae	Passeriformes	Aves
Cyclodomorphus casuarinae	161944	Cyclodomorphus	Scincidae	Squamata	Lepidosauria
Otomops cf. formosus	436904	Otomops	Molossidae	Chiroptera	Mammalia
Chalcopsitta duivenbodei	274066	Chalcopsitta	Psittaculidae	Psittaciformes	Aves
Cuora pani	176193	Cuora	Geoemydidae	Testudines	Testudinata
Xenopus laevis	8355	Xenopus	Pipidae	Anura	Amphibia
Caprimulgus europaeus	111811	Caprimulgus	Caprimulgidae	Caprimulgiformes	Aves
Myiophobus pulcher	495172	Myiophobus	Tyrannidae	Passeriformes	Aves
Sceloporus internasalis	1835713	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria
Xanthomixis tenebrosus	374664	Xanthomixis	Bernieridae	Passeriformes	Aves
Naja nigricincta	409860	Naja	Elapidae	Squamata	Lepidosauria
Motacilla clara	180447	Motacilla	Motacillidae	Passeriformes	Aves
Prionochilus percussus	667171	Prionochilus	Dicaeidae	Passeriformes	Aves
Eremias nigrolateralis	635014	Eremias	Lacertidae	Squamata	Lepidosauria
Aves	8782	Lanioturdus torquatus	Lanioturdus	Passeriformes	Aves
Anolis grahami	38894	Anolis	Dactyloidae	Squamata	Lepidosauria
Akodon torques	10078	Akodon	Cricetidae	Rodentia	Mammalia
Anilios pilbarensis	261709	Anilios	Typhlopidae	Squamata	Lepidosauria
Oxyuranus scutellatus	8668	Oxyuranus	Elapidae	Squamata	Lepidosauria
Pristimantis pardalis	228423	Pristimantis	Strabomantidae	Anura	Amphibia
Cannomys badius	1392512	Cannomys	Spalacidae	Rodentia	Mammalia
Falcipennis falcipennis	109675	Falcipennis	Phasianidae	Galliformes	Aves
Spelaeophryne methneri	274524	Spelaeophryne	Brevicipitidae	Anura	Amphibia
Hylophorbus rufescens	419649	Hylophorbus	Microhylidae	Anura	Amphibia
Pristimantis riveti	448864	Pristimantis	Strabomantidae	Anura	Amphibia
Calicalicus madagascariensis	1132579	Calicalicus	Vangidae	Passeriformes	Aves
Rhynchocyclus fulvipectus	495164	Rhynchocyclus	Tyrannidae	Passeriformes	Aves
Enhydra lutris	34882	Enhydra	Mustelidae	Carnivora	Mammalia
Podarcis erhardii	140042	Podarcis	Lacertidae	Squamata	Lepidosauria
Hypopachus barberi	1071980	Hypopachus	Microhylidae	Anura	Amphibia
Euplectes franciscanus	441672	Euplectes	Ploceidae	Passeriformes	Aves
Colobus satanas	517012	Colobus	Cercopithecidae	Primates	Mammalia
Notomys aquilo	442588	Notomys	Muridae	Rodentia	Mammalia
Micaelamys namaquensis	472707	Micaelamys	Muridae	Rodentia	Mammalia
Molossus coibensis	999942	Molossus	Molossidae	Chiroptera	Mammalia
Typhlosaurus vermis	156908	Typhlosaurus	Scincidae	Squamata	Lepidosauria
Macropygia tenuirostris	177145	Macropygia	Columbidae	Columbiformes	Aves
Tangara cayana	198468	Tangara	Thraupidae	Passeriformes	Aves
Ablepharus chernovi	283348	Ablepharus	Scincidae	Squamata	Lepidosauria
