"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage"
"59","PR00736","PRB0004","EHI00138","ABK48E1L1I1","Podarcis muralis","Same",25914054,25052364,3887108100,3619783952,4004312,145902449,1181530,3440545379,179238573,2005433630,"58%",0.8741
"60","PR00737","PRB0004","EHI00139","ABJ83E1L1I1","Podarcis muralis","Same",22789968,21611794,3418495200,3118301202,3561653,131523178,226562,3084075255,34225947,1770177646,"57%",0.8728
"61","PR00738","PRB0005","EHI00175","ABI47E2L2I1","Podarcis muralis","Same",26937188,26205142,4040578200,3776760112,4368086,163287292,24008318,0,3776760112,0,"0%",0
"62","PR00739","PRB0005","EHI00176","ABJ79E1L2I1","Podarcis muralis","Same",28474348,24893016,4271152200,3566974477,4919472,185348646,662904,3466213092,100761385,2107374782,"61%",0.8733
"63","PR00740","PRB0005","EHI00177","ABJ49E1L2I1","Podarcis muralis","Same",19722700,18622518,2958405000,2702893868,2729410,96394075,106596,2686840244,16053624,1790669210,"67%",0.8316
"64","PR00741","PRB0005","EHI00178","ABI38E1L2I1","Podarcis muralis","Same",28360640,27712494,4254096000,4012578073,4186532,157475684,296194,3967239799,45338274,2015885972,"51%",0.8693
"65","PR00742","PRB0005","EHI00179","ABL72E1L2I1","Podarcis muralis","Same",23583864,23077918,3537579600,3355967519,3123013,112887190,151648,3332819503,23148016,1946053961,"58%",0.8239
"66","PR00743","PRB0005","EHI00180","ABK05E1L2I1","Podarcis muralis","Same",25481286,22630752,3822192900,3285844751,3389958,120905691,250404,3248644425,37200326,2063060441,"64%",0.8577
"67","PR00744","PRB0005","EHI00181","ABJ71E1L2I1","Podarcis muralis","Same",22788360,22138954,3418254000,3220356822,2981622,107668504,1979242,2918957521,301399301,1976705261,"68%",0.8807
"68","PR00745","PRB0005","EHI00182","ABJ45E1L2I1","Podarcis muralis","Same",27535674,26521140,4130351100,3745839096,6528461,277710161,60990,3732583530,13255566,140768351,"4%",0.694
"69","PR00746","PRB0005","EHI00198","ABI47E2L1I1","Podarcis muralis","Same",822742,801204,123411300,118128150,63433,2080771,730480,0,118128150,0,"0%",0
"70","PR00747","PRB0005","EHI00299","ADJ98E1L1I2","Podarcis muralis","Same",81511020,79678560,12226653000,11594385318,11221352,379548339,74090830,0,11594385318,0,"0%",0.696
"71","PR00749","PRB0005","EHI00340","ADM55E1L1I2","Podarcis muralis","Same",59342598,58074748,8901389700,8530921303,5535362,191969918,53581892,0,8530921303,0,"0%",0.6346
"72","PR00750","PRB0005","EHI00351","ADM62E1L1I2","Podarcis muralis","Same",2212444,2157098,331866600,318194236,171495,6158947,1997922,0,318194236,0,"0%",0
"73","PR00751","PRB0005","EHI00353","ADK29E1L1I2","Podarcis muralis","Same",1429390,1397200,214408500,205422600,130724,4528097,1289948,0,205422600,0,"0%",0
"74","PR00752","PRB0005","EHI00354","ADK21E1L1I2","Podarcis muralis","Same",1372838,1304450,205925700,191017494,164830,6469510,1199006,0,191017494,0,"0%",0
"75","PR00753","PRB0005","EHI00355","ADM46E1L1I2","Podarcis muralis","Same",1981718,1932574,297257700,284749063,187292,5963174,1768612,0,284749063,0,"0%",0
"76","PR00754","PRB0005","EHI00359","ADK03E1L1I2","Podarcis muralis","Same",3672882,3591924,550932300,528626111,382939,11086236,3287390,0,528626111,0,"0%",0
"77","PR00757","PRB0005","EHI00325","ADK18E1L1I2","Podarcis muralis","Same",76492628,74804446,11473894200,11029171840,6133777,207057863,58179800,2058765349,8970406491,34996043,"2%",0.6149
"78","PR00758","PRB0006","EHI00340","ADM55E1L1I2","Podarcis muralis","Same",59342598,58074748,8901389700,8530921303,5535362,191969918,53581892,0,8530921303,0,"0%",0
"79","PR00759","PRB0006","EHI00351","ADM62E1L1I2","Podarcis muralis","Same",2212444,2157098,331866600,318194236,171495,6158947,1997922,0,318194236,0,"0%",0
"80","PR00760","PRB0006","EHI00353","ADK29E1L1I2","Podarcis muralis","Same",1429390,1397200,214408500,205422600,130724,4528097,1289948,0,205422600,0,"0%",0
"81","PR00761","PRB0006","EHI00354","ADK21E1L1I2","Podarcis muralis","Same",1372838,1304450,205925700,191017494,164830,6469510,1199006,0,191017494,0,"0%",0
"82","PR00762","PRB0006","EHI00355","ADM46E1L1I2","Podarcis muralis","Same",1981718,1932574,297257700,284749063,187292,5963174,1768612,0,284749063,0,"0%",0
"83","PR00763","PRB0006","EHI00359","ADK03E1L1I2","Podarcis muralis","Same",3672882,3591924,550932300,528626111,382939,11086236,3287390,0,528626111,0,"0%",0
"84","PR00764","PRB0006","EHI00422","ADJ34E1L1I1","Podarcis muralis","Same",20116982,19722596,3017547300,2851504731,3069828,115006492,404070,2793316463,58188268,1834080553,"66%",0.8763
