sequence_id	sequence_data	sequence_q20	sequence_q30	sequence_gc	index_id
EHI00203	5	95.6	89.97	46.94	ABU62E1L2I1
EHI01366	6.501777	97.02	92.54	45.51	AGZ55E1L1I1
EHI01233	3.6090723	96.57	91.63	42.08	AIF75E1L1I1
EHI00567	6.9	97.62	93.42	41.21	ADL70E1L1I1
EHI01441	3.2905761	96.54	91.33	43.94	AAP02E1L1I1
EHI00372	4.43	96.29	90.62	41.18	ACJ61E1L1I1
EHI00557	4.6	97.47	93.26	42.1	ABZ32E1L1I1
EHI00296	5.5	95.97	90.25	43.56	ABL88E1L1I2
EHI00986	5.1017013	97.18	92.41	41.64	ABQ10E1L1I1
EHI02582	3.9276072	98.5	95.88	44.59	AJP50E1L1I1
EHI00069	6.5	95.28	88.71	45.34	ABJ89E1L1I1
EHI01495	4.8887142	95.4	89.62	46.91	ACH10E1L1I1
EHI01247	1.719093	96.55	91.56	45.6	ACR98E1L1I1
EHI01432	2.4947637	96.62	91.77	41.87	AEU97E1L1I1
EHI00371	3.8	96.49	91.27	55.45	AEL21E1L1I1
EHI01045	0.1317969	97.56	92.96	45.9	ACX37E2L1I1
EHI01704	4.3733346	95.69	90.42	44.14	ABI41E1L1I1
EHI00027	2.9	94.48	87.46	44.38	NSAP21E1L1I1
EHI01659	13.9306191	96.03	91.03	44.24	AIH59E1L1I1
EHI02162	NA	NA	NA	NA	AHB75E1L1I1
EHI00199	5.2	96.71	91.53	41.77	ABT47E1L2I1
EHI01072	6.9563487	97.14	92.27	49.7	ACY29E1L1I1
EHI01281	4.4716872	97.14	92.32	40.95	AGB97E1L1I1
EHI01017	7.085049	97.29	92.48	40.21	ABO53E1L1I1
EHI00311	6	95.6	90.17	49.5	ADF10E1L1I2
EHI00481	7.4	97.15	92.79	42.48	ADJ44E1L1I1
EHI01524	5.983689	96.71	91.92	50.5	ADW11E1L1I1
EHI00092	5.4	95.28	88.83	42.62	ABJ91E1L1I1
EHI02520	4.567632	96.69	91.66	48.6	AFI13E1L1I1
