metagenomic_bases	nonpareil_coverage	preprocessing_id	host_bases	reference_closenees	sequence_id	reads_pre_fastp	reads_post_fastp	bases_pre_fastp	bases_post_fastp	adapter_trimmed_reads	adapter_trimmed_bases	host_reads	singlem_fraction	host_duplicate_fraction	reference_id	sample_id
6337228308	0.973924537768638	PR02436	127780656	Same	EHI01476	44783388	43475306	6717508200	6465008964	2243850	59262940	851871	0.7376	0.203857	G0008	ACH48
3839509812	0.926731308915469	PR03183	944980986	Other	EHI02466	33882154	32600226	5082323100	4784490798	3971286	105469626	6312967	0.7661	0.104583	G0019	AGJ46
0	0.925055532863522	PR01978	6725087806	Other	EHI01138	51698972	49022126	7754845800	6725087806	17513861	775742766	38668024	0	NA	G0054	AIH79
2602476050	0.75566963649465	PR02060	6185644206	Other	EHI01245	68406934	64337406	10261040100	8788120256	23901549	1038973981	43469450	0.33409999999999995	NA	G0005	AAW17
0	0	PR02594	6168808067	Same	EHI01761	42322674	41476964	6348401100	6168808067	2052431	53777307	40894532	0	0.255214	G0008	AAA11
2837457273	0.789769051175369	PR02612	958627999	Other	EHI01779	26146680	25735116	3922002000	3796085272	2429075	70474910	6190633	0.1249	0.476499	G0051	AGI80
0	0.717597090703658	PR02006	5387696085	Other	EHI01157	39331182	37778994	5899677300	5387696085	8545545	345528589	32818538	0	NA	G0025	AAE15
0	0.691864102243498	PR02337	4306920558	Other	EHI01488	29714230	29073020	4457134500	4306920558	1876793	60729529	26958604	0	0.207864	G0005	AAW45
4583352999	0.841651394538899	PR03098	5716227	Other	EHI02377	32750884	31386226	4912632600	4589069226	4537190	128167662	33442	0.6851999999999999	0.038184	G0081	AFI48
1351155668	0.919105141272968	PR01971	6082767271	Other	EHI01128	59929108	55729130	8989366200	7433922939	25495441	1171432791	44636996	0.0087	NA	G0054	AII26
