sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Faecal	Trap	< 3 hours	< 1 day	AEM33	Varese	57	310	SD01779	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.83	8.83	recrACkHppgdXdQse	Rodentia	Mammalia	SD0177902	Mammals
Tissue	Animal	< 1 minute	< 14 days	ADD11	NA	36.3	7.85	SD02186	Vespertilionidae	Myotis daubentonii	0000000? - Riparian	Mine roost monitoring	Adult	Female	41.97	2.4	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0218601	Bats
Tissue	Animal	< 1 minute	< 3 days	ABW40	NA	54	450	SD01179	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	urban park with lawns and several broadleaf trees, partly standing together in groups, small woods	Adult	Male	52.49	13.47	recVYUv3aeAtg7Vdd	Rodentia	Mammalia	SD0117901	Mammals
Faecal	Animal	< 10 minutes	< 1 day	AAD51	NA	42.2	NA	SD02749	Vespertilionidae	Myotis bechsteinii	1000221 - Temperate woodland	2FN Schwegler Bat box scheme in temperate deciduous woodland	Adult	Female	50.86	-2.69	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0274901	Bats
Faecal	Animal	< 1 minute	< 21 days	AFN20	NA	49.3	7.9	SD02024	Hipposideridae	Hipposideros ruber	1001803 - Tropical forest	River, forest	Juvenile	Female	1.11	11.15	reclcQpXVk25OgN5p	Chiroptera	Mammalia	SD0202401	Bats
Faecal	Animal	< 1 minute	< 14 days	ABI44	NA	45	1.9	SD00649	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Boulders and rocky slopes	Unknown	Male	42.79	-0.6	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0064901	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ABS11	NA	58.5	320	SD01494	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Conifer forests 	Adult	Male	42.79	143.17	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0149401	Mammals
Faecal	Animal	< 1 minute	< 21 days	ABJ39	NA	45	1.4	SD00584	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Village	Unknown	Female	42.4	0.74	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0058401	Reptiles
Faecal	Animal	< 10 minutes	< 1 day	AAD67	NA	42.7	NA	SD02765	Vespertilionidae	Myotis bechsteinii	1000221 - Temperate woodland	2FN Schwegler Bat box scheme in temperate deciduous woodland	Adult	Female	50.86	-2.69	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0276501	Bats
Tissue	Animal	< 1 minute	< 1 day	AFO77	NA	9.7	2.3	SD02488	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Female	40.84	-8.16	recAf61NgigHFbcBU	Squamata	Reptilia	SD0248801	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 3 days	ABS46	NA	63.5	380	SD01511	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Adult	Male	42.91	143.19	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0151101	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAT55	Donostia	NA	NA	SD01091	Laridae	Larus michahellis	1000215 - Temperate shrubland	Hill	Juvenile	Unknown	43.34	-1.96	recIUTmSxiyqoU5lQ	Charadriiformes	Aves	SD0109101	Birds
Colon mucosa	Animal	NA	NA	AIH71	1.4 mi W of Hasan	NA	NA	SD02964	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	29.86	-82.46	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0296401	Birds
Faecal	Housing	NA	< 3 days	AIQ87	NA	NA	NA	SD04212	Leporidae	Lepus europaeus	1000247 - Rangeland	NA	Juvenile	Unknown	42.9	-2.16	recIUTmSxiyqoU5lQ	Lagomorpha	Mammalia	SD0421202	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADU80	Gallarate	NA	260	SD01765	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.66	8.78	recrACkHppgdXdQse	Rodentia	Mammalia	SD0176501	Mammals
Duodenum contents	Animal	NA	NA	AII55	7.8 mi N of Alice	NA	NA	SD02972	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	27.86	-98.05	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0297201	Birds
Faecal	NA	NA	NA	AEX78	NA	54	3.66	SD02341	Lacertidae	Podarcis filfolensis	1000218 - Xeric shrubland	NA	NA	Male	36.02	14.33	rec4pSrz639KdTCof	Squamata	Reptilia	SD0234101	Reptiles
Tissue	Animal	< 1 minute	< 1 day	AAQ45	NA	40.6	8	SD02804	Vespertilionidae	Plecotus auritus	00000044 - Peatland	Abandoned cable car house	Adult	Male	40.31	-7.58	recAf61NgigHFbcBU	Chiroptera	Mammalia	SD0280401	Bats
Faecal	Housing	< 10 minutes	< 1 day	AGI31	NA	NA	NA	SD03726	Thraupidae	Xenodacnis parina	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0372601	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACG83	commande	65	530	SD00420	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Female	44.84	7.77	recrACkHppgdXdQse	Rodentia	Mammalia	SD0042003	Mammals
Faecal	Animal	< 10 minutes	< 3 days	OPAU48	NA	NA	NA	SD00732	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Woodland	Adult	Female	51.04	-0.61	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0073201	Bats
Tissue	Animal	NA	NA	AFM66	NA	60	4.55	SD02269	Lacertidae	Podarcis muralis	1000246 - Village	NA	NA	Female	42.33	13.38	recrACkHppgdXdQse	Squamata	Reptilia	SD0226901	Reptiles
Faecal	Trap	< 3 hours	< 1 day	ACH19	Golasecca	54	265	SD00298	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Male	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0029804	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAP11	NA	NA	1.77	SD03449	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.25	-1.89	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0344901	Amphibians
Faecal	Trap	< 3 hours	< 1 day	AEL32	Varese	56	285	SD01781	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Male	45.84	8.81	recrACkHppgdXdQse	Rodentia	Mammalia	SD0178101	Mammals
Tissue	Animal	< 1 minute	> 28 days	AHI66	NA	41	4	SD03486	Bombinatoridae	Bombina sp.	1000245 - Cropland	Tire track; onto a field (agriculture)	Adult	Male	45.37	18.16	rec2O52lSpnrJFgtK	Anura	Amphibia	SD0348601	Amphibians
Faecal	Trap	< 3 hours	< 1 day	ABC51	ILO	61	605	SD00396	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.02	7.67	recrACkHppgdXdQse	Rodentia	Mammalia	SD0039601	Mammals
Faecal	Animal	< 1 minute	< 1 day	AFT36	NA	45.6	11.4	SD02997	Miniopteridae	Miniopterus schreibersii	1000245 - Cropland	At the cave entrance	Adult	Male	43.2	24.42	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0299701	Bats
Faecal	NA	NA	NA	AEX99	NA	65	6.67	SD02342	Lacertidae	Podarcis filfolensis	1000218 - Xeric shrubland	NA	NA	Male	36.01	14.32	rec4pSrz639KdTCof	Squamata	Reptilia	SD0234201	Reptiles
Skin swab	Animal	< 1 minute	< 1 day	ACZ43	NA	38.35	7.9	SD01185	Vespertilionidae	Plecotus auritus	1000197 - Broadleaf forest	villiage in the forest	Adult	Male	52.7	23.85	recS6xIyDhfgVgMQw	Chiroptera	Mammalia	SD0118501	Bats
Oral swab	Animal	< 1 minute	< 14 days	AAH72	Bòfia de la Corba	32.2	5.7	SD00023	Rhinolophidae	Rhinolophus hipposideros	1000221 - Temperate woodland	Cave	Juvenile	Female	42.12	1.75	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0002301	Bats
Oral swab	Animal	< 1 minute	< 1 day	AAN72	NA	NA	13	SD00154	Muridae	Apodemus sylvaticus	1000250 - Boreal forests	Mosaic of semi-natural forest, plantations, felled areas and heath	Juvenile	Female	57.04	-3.91	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0015401	Mammals
Faecal	Housing	< 10 minutes	< 14 days	AGJ27	NA	39.4	10.48	SD02169	Vespertilionidae	Barbastella barbastellus	1000197 - Broadleaf forest	Mine roost monitoring	Adult	Male	42.72	1.11	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0216901	Bats
Tissue	Animal	NA	NA	AII63	7.8 mi N of Alice	NA	NA	SD02973	Cathartidae	Coragyps atratus	NA	NA	Adult	Male	27.86	-98.05	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0297301	Birds
Tissue	Animal	NA	NA	ABR13	NA	64	7.03	SD02387	Lacertidae	Podarcis gaigeae	1000218 - Xeric shrubland	NA	NA	Male	38.79	24.51	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0238701	Reptiles
Faecal	Animal	< 30 minutes	< 14 days	AAH35	Bauma dels teixidors	46.2	12.5	SD00043	Miniopteridae	Miniopterus schreibersii	1000221 - Temperate woodland	Cave	Adult	Female	41.99	2.37	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0004301	Bats
Skin swab	Animal	< 1 minute	> 28 days	AHI59	NA	38.4	4	SD03487	Bombinatoridae	Bombina sp.	1000245 - Cropland	Tire track; onto a field (agriculture)	Adult	Female	45.37	18.16	rec2O52lSpnrJFgtK	Anura	Amphibia	SD0348701	Amphibians
Faecal	Housing	NA	< 1 day	AJP64	NA	55	5.1	SD03837	Salamandridae	Calotriton asper	1000253 - River or stream	NA	Adult	Male	43.16	-1.91	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0383701	Amphibians
Colon contents	Animal	< 3 hours	NA	AIR24	NA	450	4000	SD04531	Leporidae	Lepus europaeus	1000221 - Temperate woodland	NA	Adult	Male	43.14	-2.13	recIUTmSxiyqoU5lQ	Lagomorpha	Mammalia	SD0453101	Mammals
Tissue	Animal	< 1 minute	< 21 days	AHN36	NA	48.68	7.9	SD03277	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Tire track	Adult	Male	47.88	19.99	recswsHtDSgulNghS	Anura	Amphibia	SD0327701	Amphibians
Faecal	Animal	< 6 hours	< 1 day	AHQ71	NA	NA	NA	SD02905	Phalangeridae	Trichosurus vulpecula	1000198 - Mixed forest	NA	Adult	Unknown	-41.86	148.19	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0290501	Mammals
Tissue	Animal	< 1 minute	< 1 day	ABG70	NA	60	510	SD00697	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	neighborhood	Adult	Female	36.01	-78.95	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0069701	Mammals
Skin swab	Animal	< 1 minute	< 3 days	NSAP03	Donostia	NA	600	SD01149	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Adult	Female	43.31	-2.01	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0114901	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AD77	Lobos	254	425	SD00255	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.39	-13.5	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0025501	Birds
Faecal	Trap	< 3 hours	< 1 day	AAV21	RS	62	390	SD00381	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Juvenile	Male	44.95	7.6	recrACkHppgdXdQse	Rodentia	Mammalia	SD0038101	Mammals
Skin swab	Animal	< 1 minute	< 1 day	AIZ36	NA	100	18.4	SD04450	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Stone wall around a eucalyptus patch in rural town.	Adult	Male	41.33	-8.67	recAf61NgigHFbcBU	Urodela	Amphibia	SD0445001	Amphibians
Skin swab	Animal	< 1 minute	> 28 days	AHI33	NA	39	5	SD03472	Bombinatoridae	Bombina sp.	1000197 - Broadleaf forest	Maybe temporary, side ditch of road	Adult	Male	45.45	18.14	rec2O52lSpnrJFgtK	Anura	Amphibia	SD0347201	Amphibians
Tissue	Animal	NA	NA	AIG41	4.1 mi N of Brooker	NA	NA	SD02953	Cathartidae	Cathartes aura	NA	NA	Adult	Female	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295301	Birds
Skin swab	Animal	< 1 minute	< 1 day	ACZ81	NA	38.91	7.3	SD01197	Vespertilionidae	Plecotus auritus	1000246 - Village	old brewery	Adult	Male	53.15	22.17	recS6xIyDhfgVgMQw	Chiroptera	Mammalia	SD0119701	Bats
Faecal	Trap	< 1 hour	< 1 day	AAP06	NA	NA	1.31	SD03454	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.29	-2.19	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0345401	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAA56	RS	NA	585	SD00378	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	44.95	7.6	recrACkHppgdXdQse	Rodentia	Mammalia	SD0037801	Mammals
Oral swab	Animal	NA	NA	AIH17	4.1 mi N of Brooker	NA	NA	SD02960	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0296001	Birds
Faecal	Housing	< 1 minute	< 14 days	AGJ41	NA	48.3	10.48	SD02216	Rhinolophidae	Rhinolophus euryale	1000199 - Mediterranean forest	Mine roost monitoring	Juvenile	Male	41.95	2.59	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0221601	Bats
Faecal	Unknown	< 3 hours	< 1 day	ADE11	NA	NA	370	SD01888	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	~2100h extent area of planted forest managed for timber and resin; forest patches also covered with invasive sepcies (Acacia)	Adult	Female	40.93	-8.64	recAf61NgigHFbcBU	Rodentia	Mammalia	SD0188801	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAY08	Montpellier	82	24.9	SD00089	Emberizidae	Emberiza cirlus	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Male	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0008901	Birds
Oral swab	Animal	< 1 minute	< 1 day	ADV17	GrottaMarelli	38.9	6.6	SD01735	Vespertilionidae	Myotis emarginatus	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Male	45.86	8.78	recrACkHppgdXdQse	Chiroptera	Mammalia	SD0173501	Bats
Faecal	Animal	< 1 minute	< 1 day	AHU39	NA	122	2.3	SD03526	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.85	-8.24	recAf61NgigHFbcBU	Squamata	Reptilia	SD0352601	Reptiles
Oral swab	Animal	< 1 minute	< 14 days	AAH44	Cova d'Anes	49.4	14.2	SD00040	Rhinolophidae	Rhinolophus euryale	1000221 - Temperate woodland	Cave	Adult	Female	42.38	1.76	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0004001	Bats
Tissue	Animal	< 1 minute	< 1 day	ACJ99	NA	58.1	17.2	SD03053	Vespertilionidae	Myotis blythii	1000197 - Broadleaf forest	At the cave entrance	Adult	Female	43.13	24.04	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0305301	Bats
Faecal	Trap	< 3 hours	< 1 day	AAB23	commande	NA	585	SD00425	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	44.84	7.77	recrACkHppgdXdQse	Rodentia	Mammalia	SD0042501	Mammals
Tissue	Animal	< 1 minute	< 7 days	ACC34	NA	40	9.1	SD00492	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Mix Deciduous Forest, Botton Valley	Nursing	Female	42.98	-6.36	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0049201	Bats
Faecal	Animal	< 1 minute	< 1 day	AFO89	NA	6.8	1.9	SD02494	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.84	-8.16	recAf61NgigHFbcBU	Squamata	Reptilia	SD0249401	Reptiles
Tissue	Animal	< 1 minute	< 7 days	AFH66	NA	25	0.8	SD03972	Dactyloidae	Anolis yoroensis	1000197 - Broadleaf forest	In front of a stream	Juvenile	Unknown	15.2	-87.59	recQgqRtcmwo7Cea8	Squamata	Reptilia	SD0397201	Reptiles
Tissue	Animal	< 1 minute	< 7 days	ACC33	NA	41	8.9	SD00491	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Mix Deciduous Forest, Botton Valley	Nursing	Female	42.98	-6.36	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0049101	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAA69	RS	NA	510	SD00362	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Nursing	Female	44.95	7.6	recrACkHppgdXdQse	Rodentia	Mammalia	SD0036201	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAT31	Donostia	NA	750	SD01123	Laridae	Larus michahellis	1000215 - Temperate shrubland	Hill	Juvenile	Unknown	43.31	-2.2	recIUTmSxiyqoU5lQ	Charadriiformes	Aves	SD0112301	Birds
Faecal	Animal	< 1 minute	< 3 days	ADU56	NA	38	7.7	SD03765	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	quarry / forest	Adult	Male	48.93	0.27	recD0072mQhXdzBoy	Chiroptera	Mammalia	SD0376501	Bats
Faecal	Trap	< 3 hours	< 1 day	AAB61	AddaNord	60	570	SD00448	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.56	9.52	recrACkHppgdXdQse	Rodentia	Mammalia	SD0044801	Mammals
Faecal	Animal	< 10 minutes	< 1 day	AAD57	NA	43.3	NA	SD02750	Vespertilionidae	Myotis bechsteinii	1000221 - Temperate woodland	2FN Schwegler Bat box scheme in temperate deciduous woodland	Adult	Female	50.86	-2.69	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0275001	Bats
Faecal	Animal	< 1 minute	< 14 days	AHD01	NA	54	4.04	SD04356	Lacertidae	Podarcis milensis	1000215 - Temperate shrubland	islet	Adult	Male	36.77	24.61	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0435601	Reptiles
Faecal	Housing	< 10 minutes	< 1 day	AGI54	NA	NA	NA	SD03701	Furnariidae	Cinclodes albidiventris	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0370101	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACH08	Golasecca	56	305	SD00402	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Pregnant	Female	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0040202	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAA79	RS	NA	480	SD00357	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Nursing	Female	44.95	7.6	recrACkHppgdXdQse	Rodentia	Mammalia	SD0035701	Mammals
Skin swab	Animal	< 1 minute	< 21 days	AHO98	NA	40.02	6.5	SD03357	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Puddle	Adult	Female	47.98	19.96	recswsHtDSgulNghS	Anura	Amphibia	SD0335701	Amphibians
Faecal	Animal	< 1 minute	< 3 days	ADI39	NA	183.93	7.79	SD00955	Lacertidae	Podarcis muralis	1000246 - Village	cemetery	Adult	Male	42.87	-0.56	recD0072mQhXdzBoy	Squamata	Reptilia	SD0095501	Reptiles
Faecal	Animal	< 10 minutes	< 1 day	AAE19	NA	41.6	8.5	SD02796	Vespertilionidae	Myotis bechsteinii	1000221 - Temperate woodland	2FN Schwegler Bat box scheme in temperate deciduous woodland	Adult	Female	51.31	-2.18	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0279601	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AGO75	NA	NA	1.61	SD03412	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.16	-2.01	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0341201	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 14 days	AA17	NA	255	582	SD02135	Sciuridae	Sciurus carolinensis	1000197 - Broadleaf forest	NA	Adult	Male	53.2	-4.19	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0213501	Mammals
Faecal	Animal	< 1 minute	< 1 day	ABI25	NA	78	11.77	SD01040	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Stone walls between agricultural fields	Unknown	Male	38.7	1.42	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0104001	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ACJ72	NA	59.3	26	SD03022	Vespertilionidae	Myotis blythii	1000197 - Broadleaf forest	Inside the cave	Adult	Female	43.13	24.04	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0302201	Bats
Skin swab	Animal	< 1 minute	< 1 day	AIY99	NA	85	10.6	SD04429	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Narrow stone alley with deciduous leaf litter along the edges.	Adult	Male	41.15	-8.63	recAf61NgigHFbcBU	Urodela	Amphibia	SD0442901	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 7 days	AAS20	NA	277	580	SD00164	Strigidae	Strix aluco	1000221 - Temperate woodland	Mixed forest	Adult	Female	43.33	-1.96	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0016401	Birds
Faecal	NA	NA	NA	ABR23	NA	54	3.66	SD02392	Lacertidae	Podarcis gaigeae	1000218 - Xeric shrubland	NA	NA	Male	38.96	24.51	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0239201	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAB58	AddaNord	60	570	SD00448	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.56	9.52	recrACkHppgdXdQse	Rodentia	Mammalia	SD0044801	Mammals
Tissue	Animal	< 1 minute	< 1 day	ADV33	Golasecca	NA	335	SD01725	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Female	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0172501	Mammals
Tissue	Animal	< 1 minute	< 1 day	ACK89	NA	52.4	23.2	SD03014	Vespertilionidae	Nyctalus noctula	1000245 - Cropland	At the cave entrance	Adult	Male	43.23	24.89	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0301401	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AFQ21	NA	14.1	1.9	SD02557	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.86	-8.25	recAf61NgigHFbcBU	Squamata	Reptilia	SD0255701	Reptiles
Skin swab	Other	< 1 minute	< 7 days	AHI43	NA	NA	NA	SD02942	Bombinatoridae	Bombina variegata	1000248 - Dense settlement	Zoo	Adult	Unknown	45.83	16.02	rec2O52lSpnrJFgtK	Anura	Amphibia	SD0294201	Amphibians
Faecal	Housing	NA	< 14 days	AIQ65	NA	NA	NA	SD04217	Leporidae	Lepus europaeus	1000247 - Rangeland	NA	Juvenile	Unknown	42.9	-2.16	recIUTmSxiyqoU5lQ	Lagomorpha	Mammalia	SD0421701	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAY47	Montpellier	22.8	15.4	SD00128	Muscicapidae	Phoenicurus ochruros	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Female	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0012801	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAY26	Montpellier	18.8	25.3	SD00107	Emberizidae	Emberiza cirlus	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Female	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0010701	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAU54	AddaNord	60	570	SD00448	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.56	9.52	recrACkHppgdXdQse	Rodentia	Mammalia	SD0044802	Mammals
Faecal	Ground	< 30 minutes	< 14 days	AGD04	NA	NA	NA	SD03136	Canidae	Canis familiaris	1001625 - Polar Tundra	military station	Juvenile	Male	74.18	-20.22	recLVY3Rb8dPMd92q	Carnivora	Mammalia	SD0313601	Mammals
Tissue	Animal	< 1 minute	< 1 day	ADA42	NA	NA	NA	SD01429	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	NA	Adult	Female	52.07	13.42	recVYUv3aeAtg7Vdd	Chiroptera	Mammalia	SD0142901	Bats
Tissue	Animal	< 1 minute	< 1 day	ADA62	NA	NA	NA	SD01441	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	NA	Adult	Male	51.77	14.37	recVYUv3aeAtg7Vdd	Chiroptera	Mammalia	SD0144101	Bats
Faecal	Animal	< 10 minutes	< 1 day	ACZ78	NA	39.97	8.3	SD01189	Vespertilionidae	Plecotus auritus	1000196 - Coniferous forest	old bunker	Adult	Male	52.39	22.92	recS6xIyDhfgVgMQw	Chiroptera	Mammalia	SD0118901	Bats
Skin swab	Animal	< 1 minute	< 3 days	NSAP59	Donostia	NA	240	SD01167	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Juvenile	Unknown	43.3	-2.03	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0116701	Birds
Faecal	Animal	< 1 minute	< 1 day	AHW97	NA	145	2.7	SD03636	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.83	-8.15	recAf61NgigHFbcBU	Squamata	Reptilia	SD0363601	Reptiles
Jejunum mucosa	Animal	NA	NA	AIH03	4.1 mi N of Brooker	NA	NA	SD02958	Cathartidae	Cathartes aura	NA	NA	Juvenile	Male	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295801	Birds
Tissue	Animal	< 1 minute	< 1 day	ACJ78	NA	56.1	24.5	SD03027	Vespertilionidae	Myotis blythii	1000197 - Broadleaf forest	Inside the cave	Adult	Male	43.13	24.04	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0302701	Bats
Tissue	Animal	< 1 minute	< 1 day	AKD50	NA	105	32.7	SD04469	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.18	-8.66	recAf61NgigHFbcBU	Urodela	Amphibia	SD0446901	Amphibians
