sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Duodenum contents	Animal	NA	NA	AIG77	4.1 mi N of Brooker	NA	NA	SD02956	Cathartidae	Coragyps atratus	NA	NA	Adult	Male	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295601	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD58	NA	95	35.6	SD02473	Furnariidae	Xiphorhynchus elegans	1000252 - Lake or pond	Oxbow lake	NA	Unknown	-11.88	-71.41	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0247301	Birds
Faecal	Animal	< 1 minute	< 1 day	ADL48	Sentein	106.74	4.84	SD00781	Lacertidae	Podarcis muralis	1000246 - Village	small montane village	Adult	Female	42.84	0.94	recD0072mQhXdzBoy	Squamata	Reptilia	SD0078101	Reptiles
Faecal	Animal	< 10 minutes	< 1 day	AGY85	NA	NA	33.5	SD03219	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.66	19.15	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0321901	Birds
Oral swab	Animal	< 1 minute	< 14 days	AFW47	NA	88	27	SD02107	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Female	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0210701	Mammals
Faecal	Animal	< 1 minute	< 14 days	AHG77	NA	76	13.27	SD04383	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	islet	Adult	Male	38.87	1.2	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0438301	Reptiles
Tissue	Animal	< 1 minute	< 14 days	AHB15	NA	68	7.54	SD04282	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet	Adult	Male	34.94	26.14	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0428201	Reptiles
Duodenum mucosa	Animal	NA	NA	AIG12	4.1 mi N of Brooker	NA	NA	SD02950	Cathartidae	Cathartes aura	NA	NA	Adult	Male	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295001	Birds
Blood	Animal	< 1 minute	< 1 day	AAY77	Montpellier	70.5	19.2	SD00077	Passeridae	Passer montanus	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Unknown	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0007701	Birds
Faecal	Trap	< 3 hours	< 1 day	ABA58	Curone	62	420	SD00288	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	oak-hornbeam forest	Adult	Male	45.73	9.38	recrACkHppgdXdQse	Rodentia	Mammalia	SD0028801	Mammals
Tissue	Animal	< 1 minute	< 21 days	AFO19	NA	36	9.5	SD02040	Molossidae	Chaerephon pumila	1001803 - Tropical forest	River, forest	Adult	Male	1.11	11.15	reclcQpXVk25OgN5p	Chiroptera	Mammalia	SD0204001	Bats
Tissue	Animal	< 1 minute	< 1 day	ADE14	NA	NA	420	SD01889	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	~2100h extent area of planted forest managed for timber and resin; forest patches also covered with invasive sepcies (Acacia)	Adult	Female	40.95	-8.65	recAf61NgigHFbcBU	Rodentia	Mammalia	SD0188901	Mammals
Faecal	Housing	< 30 minutes	< 1 day	AFZ40	NA	NA	22	SD03089	Muridae	Apodemus sylvaticus	1001805 - Temperate forest	Next to pastures	Adult	Female	42.09	2.09	recIUTmSxiyqoU5lQ	Rodentia	Mammalia	SD0308901	Mammals
Faecal	Housing	< 30 minutes	< 7 days	AEZ10	NA	20.1	8.6	SD03951	Parulidae	Myioborus miniatus	1000197 - Broadleaf forest	In front of a forest patch	Adult	Male	14.61	-88.11	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0395101	Birds
Faecal	Animal	< 1 minute	< 1 day	ADL72	Sentein	136.02	5.2	SD00758	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	rocks along montane road	Adult	Male	42.83	0.91	recD0072mQhXdzBoy	Squamata	Reptilia	SD0075801	Reptiles
Tissue	Animal	< 10 minutes	< 3 days	ABT16	NA	97	24.2	SD01339	Phrynosomatidae	Sceloporus torquatus	1001803 - Tropical forest	NA	Adult	Female	19.38	-98.26	recwKhnfLZNKSTGMp	Squamata	Reptilia	SD0133901	Reptiles
