"library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required"
"AAT62E2L1","LIB0009","AAT62","AAT62E2","",27,166.3,6.16,10,9
"AAS45E2L1","LIB0009","AAS45","AAS45E2","",27,12.4,0.46,10,12
"AAT56E2L1","LIB0009","AAT56","AAT56E2","",27,23.4,0.87,10,11
"AAT61E2L1","LIB0009","AAT61","AAT61E2","",27,340.2,12.6,10,8
"NSAP64E1L1","LIB0009","NSAP64","NSAP64E1","EHI00035",27,99.1,3.67,20,11
"AAT51E2L1","LIB0009","AAT51","AAT51E2","",27,196.6,7.28,10,9
"AAT30E1L1","LIB0009","AAT30","AAT30E1","",27,459,17,10,8
"NSAP54E1L1","LIB0009","NSAP54","NSAP54E1","EHI00032",27,240.3,8.9,20,10
"AAT39E1L1","LIB0009","AAT39","AAT39E1","",27,7.6,0.28,10,15
"AAT57E2L1","LIB0009","AAT57","AAT57E2","",27,7,0.26,10,13
"AAT24E1L1","LIB0009","AAT24","AAT24E1","",27,10.7,0.4,10,14
"AAT49E2L1","LIB0009","AAT49","AAT49E2","",27,8.5,0.31,10,13
"AAT45E1L1","LIB0009","AAT45","AAT45E1","",27,260.6,9.65,10,10
"NSAP27E1L1","LIB0009","NSAP27","NSAP27E1","EHI00034",27,37.8,1.4,10,13
"AAS43E2L1","LIB0009","AAS43","AAS43E2","",27,10.6,0.39,10,13
"AAT41E1L1","LIB0009","AAT41","AAT41E1","",27,93.2,3.45,10,10
"AAS47E2L1","LIB0009","AAS47","AAS47E2","",27,64.8,2.4,10,11
"AAT28E1L1","LIB0009","AAT28","AAT28E1","",27,15.3,0.56,10,12
"NSAP33E1L1","LIB0009","NSAP33","NSAP33E1","EHI00038",27,40.2,1.49,10,11
"NSAP36E1L1","LIB0009","NSAP36","NSAP36E1","EHI00041",27,35.6,1.32,10,14
"AAT47E2L1","LIB0009","AAT47","AAT47E2","",27,0,0,10,22
"AAT05E1L1","LIB0009","AAT05","AAT05E1","",27,1.9,0.07,10,16
"AAT59E2L1","LIB0009","AAT59","AAT59E2","",27,225.7,8.36,10,8
"AAT63E2L1","LIB0009","AAT63","AAT63E2","",27,14.3,0.53,10,13
"C3_EXB0004E1L1","LIB0009","C3_EXB0004","C3_EXB0004E1","",27,6.6,0.25,10,22
"AAS03E1L1","LIB0009","AAS03","AAS03E1","EHI00040",27,63.2,2.34,20,14
"AAS55E2L1","LIB0009","AAS55","AAS55E2","",27,0,0,10,24
"NSAP34E1L1","LIB0009","NSAP34","NSAP34E1","EHI00043",27,190.4,7.05,20,12
"AAS56E2L1","LIB0009","AAS56","AAS56E2","",27,8.5,0.31,10,23
"AAS09E1L1","LIB0009","AAS09","AAS09E1","EHI00042",27,54.3,2.01,20,13
"NSAP67E1L1","LIB0009","NSAP67","NSAP67E1","EHI00025",27,91,3.37,20,12
"AAT60E2L1","LIB0009","AAT60","AAT60E2","",27,11.9,0.44,10,12
"AAT20E1L1","LIB0010","AAT20","AAT20E1","",27,9.2,0.34,10,14
"AAT29E1L1","LIB0010","AAT29","AAT29E1","",27,0,0,10,16
"AAT37E1L1","LIB0010","AAT37","AAT37E1","",27,0,0,10,13
"AAT32E1L1","LIB0010","AAT32","AAT32E1","",27,84.5,3.13,20,10
"AAT03E1L1","LIB0010","AAT03","AAT03E1","",27,1.9,0.07,10,19
"AAT40E1L1","LIB0010","AAT40","AAT40E1","",27,0,0,10,20
"AAT53E1L1","LIB0010","AAT53","AAT53E1","",27,4.9,0.18,10,16
"AAT34E1L1","LIB0010","AAT34","AAT34E1","",27,182.5,6.76,20,9
"C1_EXB0005E1L1","LIB0010","C1_EXB0005","C1_EXB0005E1","",27,0,0,10,21
"AAT26E1L1","LIB0010","AAT26","AAT26E1","",27,0,0,10,20
"AAT46E1L1","LIB0010","AAT46","AAT46E1","",27,0,0,10,28
"AAT33E1L1","LIB0010","AAT33","AAT33E1","",27,6.5,0.24,10,14
"AAT23E1L1","LIB0010","AAT23","AAT23E1","",27,106.4,3.94,20,11
"AAT38E1L1","LIB0010","AAT38","AAT38E1","",27,3.2,0.12,10,16
"AAT43E1L1","LIB0010","AAT43","AAT43E1","",27,15.4,0.57,10,13
"AAT22E1L1","LIB0010","AAT22","AAT22E1","",27,0,0,10,19
"ABK09E1L1","LIB0011","ABK09","ABK09E1","EHI00001",27,211.1,7.82,20,8
"C1_EXB0006E1L1","LIB0011","C1_EXB0006","C1_EXB0006E1","",0,0,0.07,10,18
"ABK57E1L1","LIB0011","ABK57","ABK57E1","EHI00005",24,386.4,16.1,50,8
"ABI47E1L1","LIB0011","ABI47","ABI47E1","EHI00003",27,248.9,9.22,20,8
"ABK09E2L1","LIB0011","ABK09","ABK09E2","EHI00004",27,211.1,7.97,20,8
"ABI46E1L1","LIB0011","ABI46","ABI46E1","EHI00002",21,399,19,50,10
"ABI47E2L1","LIB0011","ABI47","ABI47E2","EHI00198",27,248.9,10.8,20,12
"AAV26E1L1","LIB0012","AAV26","AAV26E1","",22,193.4,8.79,20,7
"ABA63E1L1","LIB0012","ABA63","ABA63E1","EHI00262",24,96.7,4.03,20,7
"AAC79E2L1","LIB0012","AAC79","AAC79E2","EHI00164",24,1.7,0.07,10,16
"AAV43E1L1","LIB0012","AAV43","AAV43E1","",24,165.4,6.89,20,10
"AAC28E2L1","LIB0012","AAC28","AAC28E2","EHI00154",24,2.9,0.12,10,13
"AAC07E2L1","LIB0012","AAC07","AAC07E2","EHI00147",24,0,0,10,16
"AAU65E1L1","LIB0012","AAU65","AAU65E1","",2,171.2,85.6,20,7
"AAS14E2L1","LIB0012","AAS14","AAS14E2","EHI00149",24,13.2,0.55,10,13
"ABA67E1L1","LIB0012","ABA67","ABA67E1","",21,197.2,9.39,20,7
"ABB24E1L1","LIB0012","ABB24","ABB24E1","EHI00150",9,186.3,20.7,20,7
"ABB05E1L1","LIB0012","ABB05","ABB05E1","EHI00142",12,198,16.5,20,13
"AAB69E2L1","LIB0012","AAB69","AAB69E2","EHI00141",24,0,0,10,16
"AAV44E1L1","LIB0012","AAV44","AAV44E1","",16,200,12.5,20,16
"ABA56E1L1","LIB0012","ABA56","ABA56E1","",11,188.1,17.1,20,7
"AAW10E2L1","LIB0012","AAW10","AAW10E2","EHI00145",24,96.7,4.03,20,13
